customerID,tenure,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Risk_Score,Risk_Tier,Predicted_LTV,Expected_Monthly_Loss,Expected_LTV_Loss,Value_Segment,Action_Quadrant,Recommended_Action
6467-CHFZW,47,Month-to-month,Fiber optic,Electronic check,No,No,Yes,99.35,4749.15,Yes,0.5985,59.9,High Risk,4684.31,59.46,2803.56,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
8665-UTDHZ,1,Month-to-month,DSL,Electronic check,No,No,No,30.2,30.2,Yes,0.628,62.8,High Risk,30.2,18.97,18.97,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
5248-YGIJN,72,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,90.25,6369.45,No,0.0169,1.7,Low Risk,6465.59,1.53,109.27,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8773-HHUOZ,17,Month-to-month,DSL,Mailed check,No,No,Yes,64.7,1093.1,Yes,0.5199,52.0,High Risk,1092.54,33.64,568.01,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
3841-NFECX,71,Two year,Fiber optic,Credit card (automatic),Yes,Yes,Yes,96.35,6766.95,No,0.0346,3.5,Low Risk,6818.84,3.33,235.93,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4929-XIHVW,2,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,95.5,181.65,No,0.6357,63.6,High Risk,188.28,60.71,119.69,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
6827-IEAUQ,27,One year,DSL,Mailed check,Yes,Yes,No,66.15,1874.45,No,0.0222,2.2,Low Risk,1823.23,1.47,40.48,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7310-EGVHZ,1,Month-to-month,No,Bank transfer (automatic),No internet service,No internet service,No,20.2,20.2,No,0.2468,24.7,Low Risk,20.2,4.99,4.99,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3413-BMNZE,1,Month-to-month,DSL,Bank transfer (automatic),No,No,No,45.25,45.25,No,0.2716,27.2,Medium Risk,45.25,12.29,12.29,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
6234-RAAPL,72,Two year,Fiber optic,Bank transfer (automatic),Yes,Yes,No,99.9,7251.7,No,0.0222,2.2,Low Risk,7183.24,2.22,159.47,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6047-YHPVI,5,Month-to-month,Fiber optic,Electronic check,No,No,Yes,69.7,316.9,Yes,0.7157,71.6,Critical Risk,332.02,49.88,237.63,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
6572-ADKRS,46,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,74.8,3548.3,No,0.1513,15.1,Low Risk,3523.42,11.32,533.09,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5380-WJKOV,34,Month-to-month,Fiber optic,Electronic check,No,No,Yes,106.35,3549.25,Yes,0.6496,65.0,High Risk,3614.3,69.08,2347.85,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
8168-UQWWF,11,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,97.85,1105.4,Yes,0.8232,82.3,Critical Risk,1081.35,80.55,890.17,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
8865-TNMNX,10,One year,DSL,Mailed check,No,No,No,49.55,475.7,No,0.0934,9.3,Low Risk,480.1,4.63,44.84,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9489-DEDVP,70,Two year,DSL,Credit card (automatic),No,Yes,Yes,69.2,4872.35,No,0.0104,1.0,Low Risk,4900.76,0.72,50.97,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9867-JCZSP,17,One year,No,Mailed check,No internet service,No internet service,No,20.75,418.25,No,0.0264,2.6,Low Risk,369.48,0.55,9.75,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
4671-VJLCL,63,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,79.85,4861.45,No,0.0179,1.8,Low Risk,4989.87,1.43,89.32,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4080-IIARD,13,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,76.2,981.45,No,0.2367,23.7,Low Risk,986.43,18.04,233.49,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
3714-NTNFO,49,Month-to-month,Fiber optic,Electronic check,No,No,Yes,84.5,3906.7,No,0.3474,34.7,Medium Risk,3927.85,29.36,1364.54,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5948-UJZLF,2,Month-to-month,DSL,Mailed check,No,No,No,49.25,97.0,No,0.2212,22.1,Low Risk,98.93,10.89,21.88,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7760-OYPDY,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,80.65,144.15,Yes,0.8312,83.1,Critical Risk,160.88,67.04,133.72,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
7639-LIAYI,52,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,79.75,4217.8,No,0.0462,4.6,Low Risk,4143.71,3.68,191.44,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2954-PIBKO,69,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,64.15,4254.1,No,0.0089,0.9,Low Risk,4371.7,0.57,38.91,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
8012-SOUDQ,43,Month-to-month,Fiber optic,Electronic check,No,No,Yes,90.25,3838.75,No,0.3107,31.1,Medium Risk,3859.1,28.04,1199.02,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
9420-LOJKX,15,Month-to-month,Fiber optic,Credit card (automatic),No,Yes,Yes,99.1,1426.4,Yes,0.3696,37.0,Medium Risk,1413.0,36.63,522.24,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6575-SUVOI,25,Month-to-month,DSL,Credit card (automatic),Yes,Yes,Yes,69.5,1752.65,No,0.1639,16.4,Low Risk,1730.01,11.39,283.55,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7495-OOKFY,8,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,80.65,633.3,Yes,0.6692,66.9,High Risk,652.08,53.97,436.37,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
4667-QONEA,60,One year,DSL,Credit card (automatic),Yes,Yes,Yes,74.85,4456.35,No,0.0315,3.2,Low Risk,4474.47,2.36,140.95,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
1658-BYGOY,18,Month-to-month,Fiber optic,Electronic check,No,No,Yes,95.45,1752.55,Yes,0.8123,81.2,Critical Risk,1726.37,77.53,1402.33,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
8769-KKTPH,63,One year,Fiber optic,Credit card (automatic),No,Yes,Yes,99.65,6311.2,No,0.0962,9.6,Low Risk,6287.25,9.59,604.83,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5067-XJQFU,66,One year,Fiber optic,Electronic check,Yes,No,Yes,108.45,7076.35,No,0.1576,15.8,Low Risk,7107.49,17.09,1120.14,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
3957-SQXML,34,Two year,No,Credit card (automatic),No internet service,No internet service,No,24.95,894.3,No,0.0104,1.0,Low Risk,874.85,0.26,9.1,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5954-BDFSG,72,Two year,Fiber optic,Credit card (automatic),Yes,No,Yes,107.5,7853.7,No,0.0605,6.1,Low Risk,7751.44,6.5,468.96,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0434-CSFON,47,Month-to-month,Fiber optic,Electronic check,No,No,Yes,100.5,4707.1,No,0.3222,32.2,Medium Risk,4707.79,32.38,1516.85,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
1215-FIGMP,60,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,89.9,5450.7,No,0.2197,22.0,Low Risk,5492.53,19.75,1206.71,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0526-SXDJP,72,Two year,DSL,Bank transfer (automatic),No,Yes,No,42.1,2962.0,No,0.0081,0.8,Low Risk,3011.93,0.34,24.4,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0557-ASKVU,18,One year,DSL,Credit card (automatic),Yes,No,Yes,54.4,957.1,No,0.0523,5.2,Low Risk,960.39,2.85,50.23,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5698-BQJOH,9,Month-to-month,Fiber optic,Electronic check,No,No,No,94.4,857.25,Yes,0.7975,79.8,Critical Risk,854.45,75.28,681.42,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
5122-CYFXA,3,Month-to-month,DSL,Electronic check,Yes,No,Yes,75.3,244.1,No,0.3119,31.2,Medium Risk,245.64,23.49,76.62,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8627-ZYGSZ,47,One year,Fiber optic,Electronic check,No,No,Yes,78.9,3650.35,No,0.1366,13.7,Low Risk,3677.14,10.78,502.3,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
3410-YOQBQ,31,Two year,DSL,Mailed check,Yes,No,No,79.2,2497.2,No,0.0409,4.1,Low Risk,2464.32,3.24,100.79,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
3170-NMYVV,50,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,20.15,930.9,No,0.0071,0.7,Low Risk,979.66,0.14,6.96,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7410-OIEDU,10,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,79.85,887.35,No,0.3002,30.0,Medium Risk,827.69,23.97,248.47,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2273-QCKXA,1,Month-to-month,DSL,Mailed check,Yes,No,No,49.05,49.05,No,0.1902,19.0,Low Risk,49.03,9.33,9.33,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0731-EBJQB,52,One year,No,Electronic check,No internet service,No internet service,Yes,20.4,1090.65,No,0.0293,2.9,Low Risk,1070.83,0.6,31.38,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1891-QRQSA,64,Two year,Fiber optic,Bank transfer (automatic),Yes,Yes,Yes,111.6,7099.0,No,0.0666,6.7,Low Risk,7113.89,7.43,473.79,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8028-PNXHQ,62,Two year,No,Bank transfer (automatic),No internet service,No internet service,Yes,24.25,1424.6,No,0.0094,0.9,Low Risk,1439.31,0.23,13.53,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5630-AHZIL,3,Month-to-month,DSL,Bank transfer (automatic),Yes,Yes,Yes,64.5,177.4,No,0.253,25.3,Medium Risk,190.07,16.32,48.09,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
2673-CXQEU,56,One year,Fiber optic,Electronic check,No,Yes,No,110.5,6139.5,No,0.166,16.6,Low Risk,6167.72,18.34,1023.84,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6416-JNVRK,46,One year,DSL,Credit card (automatic),No,No,No,55.65,2688.85,No,0.0432,4.3,Low Risk,2598.75,2.4,112.27,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5590-ZSKRV,8,Month-to-month,DSL,Mailed check,No,Yes,No,54.65,482.25,No,0.111,11.1,Low Risk,450.28,6.07,49.98,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0191-ZHSKZ,30,Month-to-month,DSL,Electronic check,No,Yes,Yes,74.75,2111.3,No,0.1593,15.9,Low Risk,2229.91,11.91,355.22,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
3887-PBQAO,45,One year,No,Credit card (automatic),No internet service,No internet service,Yes,25.9,1216.6,No,0.0209,2.1,Low Risk,1211.1,0.54,25.31,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5919-TMRGD,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,79.35,79.35,Yes,0.8132,81.3,Critical Risk,79.45,64.53,64.61,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
8108-UXRQN,11,Month-to-month,DSL,Electronic check,No,Yes,No,50.55,565.35,No,0.281,28.1,Medium Risk,557.6,14.2,156.69,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9191-MYQKX,7,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,75.15,496.9,Yes,0.7228,72.3,Critical Risk,517.87,54.32,374.32,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
9919-YLNNG,42,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,Yes,103.8,4327.5,No,0.2052,20.5,Low Risk,4339.76,21.3,890.52,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0318-ZOPWS,49,Two year,No,Bank transfer (automatic),No internet service,No internet service,Yes,20.15,973.35,No,0.013,1.3,Low Risk,958.99,0.26,12.47,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
4445-ZJNMU,9,Month-to-month,Fiber optic,Credit card (automatic),No,No,Yes,99.3,918.75,No,0.7556,75.6,Critical Risk,897.38,75.03,678.06,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
4808-YNLEU,35,One year,DSL,Bank transfer (automatic),No,Yes,Yes,62.15,2215.45,No,0.051,5.1,Low Risk,2180.87,3.17,111.22,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1862-QRWPE,48,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,20.65,1057.0,No,0.0045,0.4,Low Risk,1037.46,0.09,4.67,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
2796-NNUFI,46,Two year,No,Mailed check,No internet service,No internet service,Yes,19.95,927.1,No,0.0075,0.7,Low Risk,927.84,0.15,6.96,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3016-KSVCP,29,Month-to-month,DSL,Mailed check,No,No,No,33.75,1009.25,No,0.1936,19.4,Low Risk,980.51,6.53,189.83,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
4767-HZZHQ,30,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,No,82.05,2570.2,No,0.1179,11.8,Low Risk,2505.33,9.67,295.38,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2424-WVHPL,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,74.7,74.7,No,0.5062,50.6,High Risk,74.24,37.81,37.58,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
7233-PAHHL,66,Two year,DSL,Mailed check,Yes,Yes,Yes,84.0,5714.25,No,0.0233,2.3,Low Risk,5604.79,1.96,130.59,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6067-NGCEU,65,Month-to-month,Fiber optic,Credit card (automatic),No,Yes,Yes,111.05,7107.0,No,0.1902,19.0,Low Risk,7031.14,21.12,1337.32,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
9848-JQJTX,72,Two year,Fiber optic,Bank transfer (automatic),No,No,Yes,100.9,7459.05,No,0.0857,8.6,Low Risk,7342.31,8.65,629.24,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8637-XJIVR,12,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,78.95,927.35,Yes,0.7256,72.6,Critical Risk,935.75,57.29,678.98,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
9803-FTJCG,71,One year,DSL,Credit card (automatic),Yes,Yes,Yes,66.85,4748.7,No,0.015,1.5,Low Risk,4737.75,1.0,71.07,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0278-YXOOG,5,Month-to-month,No,Mailed check,No internet service,No internet service,No,21.05,113.85,Yes,0.3644,36.4,Medium Risk,103.7,7.67,37.79,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3212-KXOCR,52,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,21.0,1107.2,No,0.008,0.8,Low Risk,1091.65,0.17,8.73,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
4598-XLKNJ,25,Month-to-month,Fiber optic,Electronic check,No,No,Yes,98.5,2514.5,Yes,0.7225,72.3,Critical Risk,2487.4,71.17,1797.15,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
6380-ARCEH,1,Month-to-month,No,Mailed check,No internet service,No internet service,No,20.2,20.2,No,0.2571,25.7,Medium Risk,20.2,5.19,5.19,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3679-XASPY,1,Month-to-month,No,Electronic check,No internet service,No internet service,No,19.45,19.45,No,0.3511,35.1,Medium Risk,19.45,6.83,6.83,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7123-WQUHX,38,One year,Fiber optic,Bank transfer (automatic),Yes,No,No,95.0,3605.6,No,0.0954,9.5,Low Risk,3601.49,9.06,343.58,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5386-THSLQ,66,One year,DSL,Bank transfer (automatic),No,No,No,45.55,3027.25,No,0.0518,5.2,Low Risk,3015.1,2.36,156.18,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3192-NQECA,68,Two year,Fiber optic,Bank transfer (automatic),Yes,No,Yes,110.0,7611.85,Yes,0.2443,24.4,Low Risk,7539.55,26.87,1841.91,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6180-YBIQI,5,Month-to-month,DSL,Mailed check,No,No,No,24.3,100.2,No,0.2954,29.5,Medium Risk,114.17,7.18,33.73,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
6728-DKUCO,72,One year,Fiber optic,Electronic check,No,Yes,Yes,104.15,7303.05,No,0.1192,11.9,Low Risk,7447.88,12.41,887.79,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
9750-BOOHV,32,One year,DSL,Mailed check,No,Yes,No,30.15,927.65,No,0.0516,5.2,Low Risk,954.13,1.56,49.23,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
8597-CWYHH,43,One year,Fiber optic,Mailed check,No,No,No,94.35,3921.3,No,0.1631,16.3,Low Risk,4021.89,15.39,655.97,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2848-YXSMW,72,Two year,No,Credit card (automatic),No internet service,No internet service,No,19.4,1363.25,No,0.0032,0.3,Low Risk,1395.19,0.06,4.46,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0486-HECZI,55,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,96.75,5238.9,Yes,0.3058,30.6,Medium Risk,5305.19,29.59,1622.33,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4549-ZDQYY,52,One year,DSL,Credit card (automatic),Yes,Yes,No,57.95,3042.25,No,0.0219,2.2,Low Risk,3026.07,1.27,66.27,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5712-AHQNN,43,Month-to-month,Fiber optic,Electronic check,No,No,Yes,91.65,3954.1,No,0.2254,22.5,Low Risk,3966.74,20.66,894.1,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4846-WHAFZ,37,Month-to-month,Fiber optic,Electronic check,No,No,Yes,76.5,2868.15,Yes,0.4821,48.2,High Risk,2853.17,36.88,1375.51,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
5256-SKJGO,64,Two year,DSL,Electronic check,Yes,No,Yes,54.6,3423.5,No,0.0327,3.3,Low Risk,3455.85,1.79,113.01,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3071-VBYPO,3,Month-to-month,Fiber optic,Electronic check,No,Yes,No,89.85,248.4,No,0.3451,34.5,Medium Risk,265.76,31.01,91.71,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
9560-BBZXK,36,Two year,DSL,Bank transfer (automatic),No,Yes,No,31.05,1126.35,No,0.0203,2.0,Low Risk,1133.76,0.63,23.02,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5299-RULOA,10,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,100.25,1064.65,Yes,0.7907,79.1,Critical Risk,1003.77,79.27,793.68,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
8402-OOOHJ,41,Two year,No,Mailed check,No internet service,No internet service,No,20.65,835.15,No,0.0074,0.7,Low Risk,839.95,0.15,6.22,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9445-ZUEQE,27,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,Yes,85.2,2151.6,No,0.1918,19.2,Low Risk,2253.56,16.34,432.23,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
