,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
MultipleLines_No phone service,0.007798861762568763,-0.00872440259126788,-0.019420409664914425,0.00040833951283524494,-0.009217227850234955,-1.0000000000000002,-0.01701722827208351,-0.24962523251918906,-0.1142218779171814,-0.011072173147362413,1.0,-0.2807756904192806,-0.2909971982306421,-0.1714454147960842,-0.1714454147960842,0.09109767317055299,-0.1714454147960842,0.05143956905951897,-0.1714454147960842,0.06940101028960534,-0.1714454147960842,0.09455860572148529,-0.1714454147960842,0.020594960619792217,-0.1714454147960842,0.03269734155631435,0.00261495804713875,-0.00502201145105359,0.006380635057384499,-0.002889919813689594,0.005708125222184395
MultipleLines_Yes,-0.008198783697704621,0.1424027149304134,0.14033834687205332,-0.026102965501425147,0.3301943763373358,0.28077569041928063,0.1634618962591832,0.4900156671470314,0.46764081516307965,0.041887823510602995,-0.2807756904192806,1.0,0.36646195491109557,-0.2090852052990274,-0.2090852052990274,0.09706513629910894,-0.2090852052990274,0.20067873740567413,-0.2090852052990274,0.20018574926039717,-0.2090852052990274,0.09888393273650473,-0.2090852052990274,0.2562293576019806,-0.2090852052990274,0.25760951567195617,-0.0049818270570106925,0.10528573739850026,0.059003554816817516,0.08343601332187421,-0.22563998219026618
InternetService_Fiber optic,-0.009898212762765366,0.2545558207592922,0.0002124277781254878,-0.16513957730846368,0.016640190572776017,0.2909971982306423,0.3252948591571889,0.7871687010031179,0.3607682763911036,0.30761193582898294,-0.2909971982306421,0.36646195491109557,1.0,-0.4644184658795666,-0.4644184658795666,-0.03124217023081639,-0.4644184658795666,0.1655465910589598,-0.4644184658795666,0.17598716860968658,-0.4644184658795666,-0.02101979711357149,-0.4644184658795666,0.32970425183400554,-0.4644184658795666,0.3223982163871883,-0.0774977029256168,-0.21096688496752816,-0.051204280138828384,0.33453692249739225,-0.3040767936284232
InternetService_No,0.003164281458652835,-0.181713115662142,0.0028229298903843644,0.14109987141863511,-0.03364059657508977,0.1714454147960842,-0.3190824963202606,-0.7621811941137641,-0.3736547431969741,-0.2282201274566382,-0.1714454147960842,-0.2090852052990274,-0.4644184658795666,1.0,1.0,-0.3322332176162275,1.0,-0.38041661320097314,1.0,-0.3795775181752845,1.0,-0.33512757399546855,1.0,-0.4143896123742448,1.0,-0.4178909636078129,0.03987715994261054,0.2202815571152882,0.003568284734061634,-0.2828537810527726,0.31518286447600513
OnlineSecurity_No internet service,0.003164281458652835,-0.181713115662142,0.0028229298903843644,0.14109987141863511,-0.03364059657508977,0.1714454147960842,-0.3190824963202606,-0.7621811941137641,-0.3736547431969741,-0.2282201274566382,-0.1714454147960842,-0.2090852052990274,-0.4644184658795666,1.0,1.0,-0.3322332176162275,1.0,-0.38041661320097314,1.0,-0.3795775181752845,1.0,-0.33512757399546855,1.0,-0.4143896123742448,1.0,-0.4178909636078129,0.03987715994261054,0.2202815571152882,0.003568284734061634,-0.2828537810527726,0.31518286447600513
OnlineSecurity_Yes,-0.015838679180150736,-0.039257570524187,0.14172225514756104,0.07959144576301859,0.32679824940925173,-0.09109767317055303,-0.004621501476128627,0.2953975652244559,0.4115412028212323,-0.1705648403150181,0.09109767317055299,0.09706513629910894,-0.03124217023081639,-0.3322332176162275,-0.3322332176162275,1.0,-0.3322332176162275,0.28225256711645186,-0.3322332176162275,0.2738329497731603,-0.3322332176162275,0.3536361617972576,-0.3322332176162275,0.17422335976497924,-0.3322332176162275,0.18614376840775773,0.09973869072362163,0.19079627949231714,0.11455012126963277,-0.11279349158128803,-0.07791147249989956
OnlineBackup_No internet service,0.003164281458652835,-0.181713115662142,0.0028229298903843644,0.14109987141863511,-0.03364059657508977,0.1714454147960842,-0.3190824963202606,-0.7621811941137641,-0.3736547431969741,-0.2282201274566382,-0.1714454147960842,-0.2090852052990274,-0.4644184658795666,1.0,1.0,-0.3322332176162275,1.0,-0.38041661320097314,1.0,-0.3795775181752845,1.0,-0.33512757399546855,1.0,-0.4143896123742448,1.0,-0.4178909636078129,0.03987715994261054,0.2202815571152882,0.003568284734061634,-0.2828537810527726,0.31518286447600513
OnlineBackup_Yes,-0.012523044073705906,0.06603872840608967,0.13997097384758334,0.02218669427247116,0.3594453511299873,-0.05143956905951898,0.1267397858593737,0.4407110712831009,0.5090486492276701,-0.08114491301916918,0.05143956905951897,0.20067873740567413,0.1655465910589598,-0.38041661320097314,-0.38041661320097314,0.28225256711645186,-0.38041661320097314,1.0,-0.38041661320097303,0.30190698895608903,-0.38041661320097303,0.2926785671334481,-0.38041661320097303,0.2803080317134174,-0.38041661320097303,0.27320651872084273,0.08304469112778423,0.1102580939031133,0.0893715258561364,-0.0006722545902322905,-0.17219493959703935
DeviceProtection_No internet service,0.003164281458652835,-0.181713115662142,0.0028229298903843644,0.14109987141863511,-0.03364059657508977,0.1714454147960842,-0.3190824963202606,-0.7621811941137641,-0.3736547431969741,-0.2282201274566382,-0.1714454147960842,-0.2090852052990274,-0.4644184658795666,1.0,1.0,-0.3322332176162275,1.0,-0.38041661320097303,1.0,-0.3795775181752845,1.0,-0.33512757399546855,1.0,-0.4143896123742448,1.0,-0.4178909636078129,0.03987715994261054,0.2202815571152882,0.003568284734061634,-0.2828537810527726,0.31518286447600513
DeviceProtection_Yes,-0.00020892414082112183,0.05888057157670416,0.15170940287103063,0.012436210836988067,0.35983330094351174,-0.06940101028960531,0.10370493187368639,0.4819194446408835,0.5218632796068724,-0.06497772030911768,0.06940101028960534,0.20018574926039717,0.17598716860968658,-0.3795775181752845,-0.3795775181752845,0.2738329497731603,-0.3795775181752845,0.30190698895608903,-0.3795775181752845,1.0,-0.3795775181752845,0.3318834484456087,-0.3795775181752845,0.3888292817854982,-0.3795775181752845,0.4012281721941183,0.10186800596332257,0.16418837658288468,0.11019647581590161,-0.0036224156933871397,-0.18551447883362415
TechSupport_No internet service,0.003164281458652835,-0.181713115662142,0.0028229298903843644,0.14109987141863511,-0.03364059657508977,0.1714454147960842,-0.3190824963202606,-0.7621811941137641,-0.3736547431969741,-0.2282201274566382,-0.1714454147960842,-0.2090852052990274,-0.4644184658795666,1.0,1.0,-0.3322332176162275,1.0,-0.38041661320097303,1.0,-0.3795775181752845,1.0,-0.33512757399546855,1.0,-0.4143896123742448,1.0,-0.4178909636078129,0.03987715994261054,0.2202815571152882,0.003568284734061634,-0.2828537810527726,0.31518286447600513
TechSupport_Yes,-0.007996393730824121,-0.06129254029951564,0.11851822352488549,0.06182540517789185,0.32376088776850453,-0.09455860572148529,0.03705959513615982,0.33736075555478584,0.431822475122143,-0.16398028131543546,0.09455860572148529,0.09888393273650473,-0.02101979711357149,-0.33512757399546855,-0.33512757399546855,0.3536361617972576,-0.33512757399546855,0.2926785671334481,-0.33512757399546855,0.3318834484456087,-0.33512757399546855,1.0,-0.33512757399546855,0.27641138940290716,-0.33512757399546855,0.2790135151109136,0.09532681246802464,0.2400705151087912,0.11609445593505482,-0.11531486460235213,-0.08262643528472158
StreamingTV_No internet service,0.003164281458652835,-0.181713115662142,0.0028229298903843644,0.14109987141863511,-0.03364059657508977,0.1714454147960842,-0.3190824963202606,-0.7621811941137641,-0.3736547431969741,-0.2282201274566382,-0.1714454147960842,-0.2090852052990274,-0.4644184658795666,1.0,1.0,-0.3322332176162275,1.0,-0.38041661320097303,1.0,-0.3795775181752845,1.0,-0.33512757399546855,1.0,-0.4143896123742448,1.0,-0.4178909636078129,0.03987715994261054,0.2202815571152882,0.003568284734061634,-0.2828537810527726,0.31518286447600513
StreamingTV_Yes,-0.006487766221177186,0.1048302454448088,0.12238701009021243,-0.018146226796508944,0.27807675373827945,-0.02059496061979224,0.2241514126889272,0.6293356713565921,0.5145483256314577,0.06505803766263492,0.020594960619792217,0.2562293576019806,0.32970425183400554,-0.4143896123742448,-0.4143896123742448,0.17422335976497924,-0.4143896123742448,0.2803080317134174,-0.4143896123742448,0.3888292817854982,-0.4143896123742448,0.27641138940290716,-0.4143896123742448,1.0,-0.4143896123742448,0.532456219490838,0.060738444530098516,0.07083588956486288,0.038762231718121376,0.14476039838202784,-0.24598326896971906
StreamingMovies_No internet service,0.003164281458652835,-0.181713115662142,0.0028229298903843644,0.14109987141863511,-0.03364059657508977,0.1714454147960842,-0.3190824963202606,-0.7621811941137641,-0.3736547431969741,-0.2282201274566382,-0.1714454147960842,-0.2090852052990274,-0.4644184658795666,1.0,1.0,-0.3322332176162275,1.0,-0.38041661320097303,1.0,-0.3795775181752845,1.0,-0.33512757399546855,1.0,-0.4143896123742448,1.0,-0.4178909636078129,0.03987715994261054,0.2202815571152882,0.003568284734061634,-0.2828537810527726,0.31518286447600513
StreamingMovies_Yes,-0.009471005407495441,0.11924653720077792,0.11597866785579199,-0.0400729031800216,0.28321155628502803,-0.032697341556314305,0.21145592974317765,0.6268849039022866,0.5187041367252436,0.06266967947906671,0.03269734155631435,0.25760951567195617,0.3223982163871883,-0.4178909636078129,-0.4178909636078129,0.18614376840775773,-0.4178909636078129,0.27320651872084273,-0.4178909636078129,0.4012281721941183,-0.4178909636078129,0.2790135151109136,-0.4178909636078129,0.532456219490838,-0.4178909636078129,1.0,0.06358299772318145,0.0743095093068997,0.04715192097336853,0.13741532078672045,-0.24855343580444605
Contract_One year,0.008196289142579092,-0.0470532336060699,0.08166124069257329,0.06824262671305611,0.2008716028961641,-0.002614958047138763,-0.05284574890602166,0.00327125280909024,0.16929984457513997,-0.17774201267726783,0.00261495804713875,-0.0049818270570106925,-0.0774977029256168,0.03987715994261054,0.03987715994261054,0.09973869072362163,0.03987715994261054,0.08304469112778423,0.03987715994261054,0.10186800596332257,0.03987715994261054,0.09532681246802464,0.03987715994261054,0.060738444530098516,0.03987715994261054,0.06358299772318145,1.0,-0.2900130734613216,0.06679802001212919,-0.10996554508250253,0.0021275010697095155
Contract_Two year,-0.003145654018453245,-0.11689832006077171,0.24611443666713412,0.200783469807825,0.5632734652229627,0.005022011451053632,-0.1471036057009535,-0.07515165894462852,0.3570163595756698,-0.301375198077799,-0.00502201145105359,0.10528573739850026,-0.21096688496752816,0.2202815571152882,0.2202815571152882,0.19079627949231714,0.2202815571152882,0.1102580939031133,0.2202815571152882,0.16418837658288468,0.2202815571152882,0.2400705151087912,0.2202815571152882,0.07083588956486288,0.2202815571152882,0.0743095093068997,-0.2900130734613216,1.0,0.17364546193912794,-0.28192400399229206,-0.005350695226299584
PaymentMethod_Credit card (automatic),0.002070196313080871,-0.024909356818357375,0.08088876932193492,0.06012478295425955,0.23138539146071968,-0.006380635057384541,-0.01422073605927914,0.028552087317282423,0.18138714980700346,-0.1340521343668536,0.006380635057384499,0.059003554816817516,-0.051204280138828384,0.003568284734061634,0.003568284734061634,0.11455012126963277,0.003568284734061634,0.0893715258561364,0.003568284734061634,0.11019647581590161,0.003568284734061634,0.11609445593505482,0.003568284734061634,0.038762231718121376,0.003568284734061634,0.04715192097336853,0.06679802001212919,0.17364546193912794,1.0,-0.37489426114474095,-0.28488099928716637
PaymentMethod_Electronic check,0.0014518424923412462,0.17094948338369642,-0.08385615726340805,-0.14986221376922212,-0.2115827573793197,0.0028899198136895237,0.20756923880057337,0.269930582593562,-0.06105950991421802,0.3010787990044494,-0.002889919813689594,0.08343601332187421,0.33453692249739225,-0.2828537810527726,-0.2828537810527726,-0.11279349158128803,-0.2828537810527726,-0.0006722545902322905,-0.2828537810527726,-0.0036224156933871397,-0.2828537810527726,-0.11531486460235213,-0.2828537810527726,0.14476039838202784,-0.2828537810527726,0.13741532078672045,-0.10996554508250253,-0.28192400399229206,-0.37489426114474095,1.0,-0.38542181578664836
PaymentMethod_Mailed check,0.011726548081565607,-0.1518404112071899,-0.09385434888922546,0.05915922319916552,-0.2289016623287201,-0.005708125222184377,-0.2025206754920835,-0.37332428208547414,-0.2925977790775959,-0.0916490583847915,0.005708125222184395,-0.22563998219026618,-0.3040767936284232,0.31518286447600513,0.31518286447600513,-0.07791147249989956,0.31518286447600513,-0.17219493959703935,0.31518286447600513,-0.18551447883362415,0.31518286447600513,-0.08262643528472158,0.31518286447600513,-0.24598326896971906,0.31518286447600513,-0.24855343580444605,0.0021275010697095155,-0.005350695226299584,-0.28488099928716637,-0.38542181578664836,1.0
